Zone ID,Load Zone,Month, Total $kW ,,,,,,,,,,
4001,MAINE,6/1/2010, $5.6900 ,,,,,,,,,,
4001,MAINE,7/1/2010, $5.6400 ,,,,,,,,,,
4001,MAINE,8/1/2010, $5.4600 ,,,,,,,,,,
4001,MAINE,9/1/2010, $5.3500 ,,,,,,,,,,
4001,MAINE,10/1/2010, $5.2700 ,,,,,,,,,,
4001,MAINE,11/1/2010, $5.3000 ,,,,,,,,,,
4001,MAINE,12/1/2010, $5.1000 ,,,,,,,,,,
4001,MAINE,1/1/2011, $5.1200 ,,,,,,,,,,
4001,MAINE,2/1/2011, $5.1300 ,,,,,,,,,,
4001,MAINE,3/1/2011, $5.3600 ,,,,,,,,,,
4001,MAINE,4/1/2011, $5.3800 ,,,,,,,,,,
4001,MAINE,5/1/2011, $5.3800 ,,,,,,,,,,
4001,MAINE,6/1/2011, $3.9300 ,,,,,,,,,,
4001,MAINE,7/1/2011, $4.0100 ,,,,,,,,,,
4001,MAINE,8/1/2011, $4.1800 ,,,,,,,,,,
4001,MAINE,9/1/2011, $4.3800 ,,,,,,,,,,
4001,MAINE,10/1/2011, $4.5100 ,,,,,,,,,,
4001,MAINE,11/1/2011, $4.5200 ,,,,,,,,,,
4001,MAINE,12/1/2011, $4.5200 ,,,,,,,,,,
4001,MAINE,1/1/2012, $4.5200 ,,,,,,,,,,
4001,MAINE,2/1/2012, $4.5200 ,,,,,,,,,,
4001,MAINE,3/1/2012, $4.5200 ,,,,,,,,,,
4001,MAINE,4/1/2012, $4.5200 ,,,,,,,,,,
4001,MAINE,5/1/2012, $4.5200 ,,,,,,,,,,
4001,MAINE,6/1/2012, $3.4300 ,,,,,,,,,,
4001,MAINE,7/1/2012, $3.2400 ,,,,,,,,,,
4001,MAINE,8/1/2012, $3.4300 ,,,,,,,,,,
4001,MAINE,9/1/2012, $3.4200 ,,,,,,,,,,
4001,MAINE,10/1/2012, $3.4200 ,,,,,,,,,,
4001,MAINE,11/1/2012, $3.3800 ,,,,,,,,,,
4001,MAINE,12/1/2012, $3.4300 ,,,,,,,,,,
4001,MAINE,1/1/2013, $3.4600 ,,,,,,,,,,
4001,MAINE,2/1/2013, $3.4400 ,,,,,,,,,,
4001,MAINE,3/1/2013, $3.4700 ,,,,,,,,,,
4001,MAINE,4/1/2013, $3.5700 ,,,,,,,,,,
4001,MAINE,5/1/2013, $3.5600 ,,,,,,,,,,
4001,MAINE,6/1/2013, $4.0200 ,,,,,,,,,,
4001,MAINE,7/1/2013, $4.1900 ,,,,,,,,,,
4001,MAINE,8/1/2013, $4.1200 ,,,,,,,,,,
4001,MAINE,9/1/2013, $4.0800 ,,,,,,,,,,
4001,MAINE,10/1/2013, $4.2300 ,,,,,,,,,,
4001,MAINE,11/1/2013, $4.2900 ,,,,,,,,,,
4001,MAINE,12/1/2013, $4.2000 ,,,,,,,,,,
4001,MAINE,1/1/2014, $4.3400 ,,,,,,,,,,
4001,MAINE,2/1/2014, $4.2300 ,,,,,,,,,,
