Control Area,NYISO,NYISO,NYISO,NYISO,NYISO,NYISO,NYISO,NYISO,NYISO,NYISO,NYISO
ZoneID,28,29,30,31,32,33,34,35,36,37,38
Zone,ZONE A,ZONE B,ZONE C,ZONE D,ZONE E,ZONE F,ZONE G,ZONE H,ZONE I,ZONE J,ZONE K
Month,FWD CURVE,FWD CURVE,FWD CURVE,FWD CURVE,FWD CURVE,FWD CURVE,FWD CURVE,FWD CURVE,FWD CURVE,FWD CURVE,FWD CURVE
12/1/2022,$61.80 ,$60.60 ,$61.37 ,$55.68 ,$54.49 ,$107.12 ,$92.50 ,$94.24 ,$94.16 ,$100.33 ,$101.57 
1/1/2023,$94.77 ,$101.44 ,$94.97 ,$91.96 ,$80.07 ,$239.57 ,$215.81 ,$216.82 ,$215.21 ,$228.75 ,$223.52 
2/1/2023,$82.64 ,$88.31 ,$82.16 ,$76.17 ,$68.36 ,$223.28 ,$201.88 ,$202.64 ,$200.31 ,$213.73 ,$208.19 
3/1/2023,$59.25 ,$59.65 ,$60.60 ,$55.00 ,$51.68 ,$119.01 ,$106.33 ,$107.17 ,$107.27 ,$116.71 ,$118.39 
4/1/2023,$38.74 ,$34.47 ,$36.30 ,$35.20 ,$36.32 ,$71.26 ,$66.47 ,$66.94 ,$67.75 ,$73.30 ,$75.58 
5/1/2023,$34.30 ,$25.39 ,$27.07 ,$26.82 ,$29.79 ,$58.65 ,$53.21 ,$53.57 ,$55.21 ,$59.26 ,$64.11 
6/1/2023,$42.71 ,$31.66 ,$31.30 ,$31.77 ,$36.43 ,$66.57 ,$60.73 ,$61.63 ,$62.37 ,$67.60 ,$71.70 
7/1/2023,$70.36 ,$60.21 ,$61.08 ,$59.07 ,$64.77 ,$91.83 ,$88.32 ,$90.55 ,$91.12 ,$97.07 ,$99.31 
8/1/2023,$63.85 ,$52.35 ,$54.35 ,$52.62 ,$58.02 ,$88.87 ,$86.29 ,$87.41 ,$87.48 ,$96.64 ,$96.15 
9/1/2023,$36.64 ,$25.24 ,$26.85 ,$26.69 ,$32.60 ,$61.50 ,$55.77 ,$56.69 ,$56.84 ,$62.37 ,$67.18 
10/1/2023,$32.08 ,$23.87 ,$24.77 ,$26.21 ,$28.43 ,$65.36 ,$54.26 ,$55.60 ,$57.68 ,$62.68 ,$69.42 
11/1/2023,$42.54 ,$37.92 ,$38.83 ,$41.82 ,$44.42 ,$90.06 ,$74.14 ,$77.48 ,$80.04 ,$81.83 ,$89.88 
12/1/2023,$54.92 ,$52.22 ,$53.00 ,$51.80 ,$47.11 ,$126.54 ,$107.42 ,$108.41 ,$112.33 ,$116.75 ,$120.48 
1/1/2024,$88.69 ,$87.36 ,$97.89 ,$91.38 ,$71.74 ,$187.86 ,$165.09 ,$168.11 ,$170.50 ,$177.99 ,$175.77 
2/1/2024,$82.90 ,$82.08 ,$91.43 ,$82.44 ,$66.88 ,$181.80 ,$159.91 ,$163.17 ,$165.83 ,$171.82 ,$169.79 
3/1/2024,$47.70 ,$43.60 ,$50.55 ,$41.95 ,$37.12 ,$101.64 ,$97.45 ,$95.80 ,$94.40 ,$108.40 ,$104.33 
4/1/2024,$35.95 ,$31.68 ,$34.52 ,$30.91 ,$31.53 ,$55.34 ,$54.55 ,$54.01 ,$54.07 ,$60.65 ,$61.93 
5/1/2024,$38.45 ,$29.29 ,$33.72 ,$29.97 ,$33.19 ,$54.04 ,$52.60 ,$52.96 ,$53.10 ,$58.00 ,$60.85 
6/1/2024,$43.80 ,$33.50 ,$35.89 ,$31.86 ,$36.52 ,$60.74 ,$60.90 ,$61.80 ,$61.04 ,$60.55 ,$68.15 
7/1/2024,$53.15 ,$43.00 ,$46.38 ,$40.86 ,$47.57 ,$73.12 ,$75.10 ,$77.33 ,$77.40 ,$85.15 ,$88.40 
8/1/2024,$50.70 ,$39.70 ,$42.21 ,$40.47 ,$45.87 ,$69.03 ,$71.45 ,$73.07 ,$72.64 ,$83.40 ,$83.41 
9/1/2024,$39.95 ,$30.30 ,$34.66 ,$32.99 ,$34.91 ,$55.08 ,$55.35 ,$55.52 ,$55.67 ,$54.90 ,$61.71 
10/1/2024,$31.15 ,$23.94 ,$26.84 ,$24.78 ,$26.50 ,$52.95 ,$47.10 ,$47.69 ,$48.28 ,$54.35 ,$59.09 
11/1/2024,$30.00 ,$25.88 ,$28.79 ,$30.28 ,$30.88 ,$69.11 ,$59.45 ,$60.79 ,$61.59 ,$66.30 ,$71.35 
12/1/2024,$50.15 ,$47.20 ,$50.72 ,$49.53 ,$43.84 ,$109.57 ,$94.45 ,$95.94 ,$96.86 ,$102.50 ,$103.24 
1/1/2025,$70.95 ,$71.12 ,$75.15 ,$70.64 ,$53.76 ,$172.07 ,$161.30 ,$166.81 ,$169.21 ,$170.20 ,$172.97 
2/1/2025,$67.20 ,$67.88 ,$71.72 ,$63.99 ,$51.42 ,$167.65 ,$156.75 ,$162.01 ,$164.17 ,$164.50 ,$166.46 
